year,state,votes,party
1984,IA,1051,OTHER
1984,IA,892,OTHER
1984,IA,463,OTHER
1984,IA,313,OTHER
1984,IA,286,OTHER
1988,IA,670557,DEM
1988,IA,545355,REP
1988,IA,3526,OTHER
1988,IA,2494,LIB
1988,IA,1613,OTHER
1988,IA,755,OTHER
1988,IA,540,OTHER
1988,IA,334,OTHER
1988,IA,235,OTHER
1988,IA,205,OTHER
1992,IA,586353,DEM
1992,IA,504891,REP
1992,IA,253468,OTHER
1992,IA,3079,OTHER
1992,IA,1753,OTHER
1992,IA,1177,OTHER
1992,IA,1076,LIB
1992,IA,741,OTHER
1992,IA,669,OTHER
1992,IA,480,OTHER
1992,IA,273,OTHER
1992,IA,238,OTHER
1992,IA,212,OTHER
1992,IA,197,OTHER
1996,IA,620258,DEM
1996,IA,492644,REP
1996,IA,105159,OTHER
1996,IA,6550,OTHER
1996,IA,3349,OTHER
1996,IA,2315,LIB
1996,IA,2229,OTHER
1996,IA,1240,OTHER
1996,IA,331,OTHER
2000,IA,638517,DEM
2000,IA,634373,REP
2000,IA,37459,OTHER
2000,IA,29374,OTHER
2000,IA,5731,OTHER
2000,IA,3209,LIB
2000,IA,2281,OTHER
2000,IA,1168,OTHER
2000,IA,613,OTHER
2000,IA,190,OTHER
2000,IA,107,OTHER
2004,IA,751957,REP
2004,IA,741898,DEM
2004,IA,6149,OTHER
2004,IA,2992,LIB
2004,IA,1304,OTHER
2004,IA,1141,OTHER
2004,IA,1094,OTHER
2004,IA,373,OTHER
2008,IA,828940,DEM
2008,IA,682379,REP
2008,IA,8014,OTHER
2008,IA,6737,OTHER
2008,IA,4590,LIB
2008,IA,4445,OTHER
2008,IA,1423,OTHER
2008,IA,292,OTHER
2008,IA,182,OTHER
2008,IA,121,OTHER
2012,IA,822544,DEM
2012,IA,730617,REP
2012,IA,12926,LIB
2012,IA,7442,OTHER
2012,IA,3769,OTHER
2012,IA,3038,OTHER
2012,IA,1027,OTHER
2012,IA,445,OTHER
2012,IA,372,OTHER
2016,IA,800983,REP
2016,IA,653669,DEM
2016,IA,59186,LIB
2016,IA,17746,OTHER
2016,IA,12366,OTHER
2016,IA,11479,OTHER
2016,IA,5335,OTHER
2016,IA,2247,OTHER
2016,IA,2246,OTHER
2016,IA,323,OTHER
2020,IA,897672,REP
2020,IA,759061,DEM
2020,IA,1082,OTHER
2020,IA,1707,OTHER
2020,IA,546,OTHER
2020,IA,3075,OTHER
2020,IA,19637,LIB
2020,IA,544,OTHER
2020,IA,3210,OTHER
2020,IA,4337,OTHER
2020,IA,6614,OTHER
2020,IA,2645,OTHER
1976,ID,204151,REP
1976,ID,126549,DEM
1976,ID,5935,OTHER
1976,ID,3558,LIB
1976,ID,739,OTHER
1980,ID,290699,REP
1980,ID,110192,DEM
1980,ID,27058,OTHER
1980,ID,8425,LIB
1980,ID,1057,OTHER
1984,ID,297523,REP
1984,ID,108510,DEM
1984,ID,2823,LIB
1984,ID,2288,OTHER
1988,ID,253881,REP
1988,ID,147272,DEM
1988,ID,5313,LIB
1988,ID,2502,OTHER
1992,ID,202645,REP
1992,ID,137013,DEM
1992,ID,130395,OTHER
1992,ID,10894,OTHER
1992,ID,1167,LIB
1996,ID,256595,REP
1996,ID,165443,DEM
1996,ID,62518,OTHER
1996,ID,3325,LIB
1996,ID,2230,OTHER
1996,ID,1600,OTHER
2000,ID,336937,REP
2000,ID,138637,DEM
2000,ID,12292,OTHER
2000,ID,7615,OTHER
2000,ID,3488,LIB
2000,ID,1469,OTHER
2000,ID,1177,OTHER
2004,ID,409235,REP
2004,ID,181098,DEM
2004,ID,3844,LIB
2004,ID,3084,OTHER
2004,ID,1115,OTHER
2008,ID,403012,REP
2008,ID,236440,DEM
2008,ID,7175,OTHER
2008,ID,4747,OTHER
2008,ID,3658,LIB
2008,ID,90,OTHER
2012,ID,420911,REP
2012,ID,212787,DEM
2012,ID,9453,LIB
2012,ID,6901,OTHER
2012,ID,2222,OTHER
2016,ID,409055,REP
2016,ID,189765,DEM
2016,ID,60748,OTHER
2016,ID,28331,LIB
2016,ID,2356,OTHER
2020,ID,287021,DEM
2020,ID,554119,REP
2020,ID,16404,LIB
2020,ID,407,OTHER
2020,ID,2808,OTHER
2020,ID,1886,OTHER
2020,ID,1491,OTHER
2020,ID,3632,OTHER
2020,ID,49,OTHER
2020,ID,163,OTHER
2020,ID,1,OTHER
2020,ID,1,OTHER
2020,ID,7,OTHER
2020,ID,4,OTHER
2020,ID,21,OTHER
1976,IL,2364269,REP
1976,IL,2271295,DEM
1976,IL,55939,OTHER
1976,IL,9250,OTHER
1976,IL,8057,LIB
1976,IL,4417,OTHER
1976,IL,3615,OTHER
1976,IL,2422,OTHER
1976,IL,2018,OTHER
1980,IL,2358049,REP
1980,IL,1981413,DEM
1980,IL,346754,OTHER
1980,IL,38939,LIB
1980,IL,10692,OTHER
1980,IL,9711,OTHER
1980,IL,2257,OTHER
1980,IL,1302,OTHER
1980,IL,604,OTHER
1984,IL,2707103,REP
1984,IL,2086499,DEM
1984,IL,10086,LIB
1984,IL,4672,OTHER
1984,IL,2716,OTHER
1984,IL,2632,OTHER
1984,IL,2386,OTHER
1984,IL,2132,OTHER
1984,IL,862,OTHER
1988,IL,2310939,REP
1988,IL,2215940,DEM
1988,IL,14944,LIB
1988,IL,10276,OTHER
1988,IL,7021,OTHER
1992,IL,2453350,DEM
1992,IL,1734096,REP
1992,IL,840515,OTHER
1992,IL,9218,LIB
1992,IL,5267,OTHER
1992,IL,3577,OTHER
1992,IL,2751,OTHER
1992,IL,1361,OTHER
1992,IL,22,OTHER
1996,IL,2341744,DEM
1996,IL,1587021,REP
1996,IL,346408,OTHER
1996,IL,22548,LIB
1996,IL,7606,OTHER
1996,IL,4606,OTHER
1996,IL,1458,OTHER
2000,IL,2589026,DEM
2000,IL,2019421,REP
2000,IL,103759,OTHER
2000,IL,16106,OTHER
2000,IL,11623,LIB
2000,IL,2127,OTHER
2000,IL,46,OTHER
2004,IL,2891550,DEM
2004,IL,2345946,REP
2004,IL,32442,LIB
2004,IL,4384,OTHER
2008,IL,3419348,DEM
2008,IL,2031179,REP
2008,IL,30948,OTHER
2008,IL,19642,LIB
2008,IL,11838,OTHER
2008,IL,8256,OTHER
2008,IL,1149,OTHER
2008,IL,11,OTHER
2012,IL,3019512,DEM
2012,IL,2135216,REP
2012,IL,56229,LIB
2012,IL,30222,OTHER
2012,IL,835,OTHER
2016,IL,3090729,DEM
2016,IL,2146015,REP
2016,IL,209596,LIB
2016,IL,76802,OTHER
2016,IL,13282,OTHER
2020,IL,3471915,DEM
2020,IL,2446891,REP
2020,IL,66544,LIB
2020,IL,30494,OTHER
2020,IL,9548,OTHER
2020,IL,8046,OTHER
2020,IL,84,OTHER
2020,IL,78,OTHER
2020,IL,75,OTHER
2020,IL,18,OTHER
2020,IL,18,OTHER
2020,IL,8,OTHER
2020,IL,7,OTHER
2020,IL,5,OTHER
2020,IL,4,OTHER
2020,IL,3,OTHER
2020,IL,2,OTHER
2020,IL,1,OTHER
2020,IL,1,OTHER
2020,IL,1,OTHER
1976,IN,1183958,REP
1976,IN,1014714,DEM
1976,IN,14048,OTHER
1976,IN,5695,OTHER
1976,IN,1947,OTHER
1980,IN,1255656,REP
1980,IN,844197,DEM
1980,IN,111639,OTHER
1980,IN,19627,LIB
1980,IN,4852,OTHER
1980,IN,4750,OTHER
1980,IN,702,OTHER
1980,IN,610,OTHER
1984,IN,1377230,REP
1984,IN,841481,DEM
1984,IN,7617,OTHER
1984,IN,6741,LIB
1988,IN,1297763,REP
1988,IN,860643,DEM
1988,IN,10215,OTHER
1992,IN,989375,REP
1992,IN,848420,DEM
1992,IN,455934,OTHER
1992,IN,7936,LIB
1992,IN,2583,OTHER
1992,IN,1623,OTHER
1996,IN,1006693,REP
1996,IN,887424,DEM
1996,IN,224299,OTHER
1996,IN,15632,LIB
1996,IN,1383,OTHER
2000,IN,1245836,REP
2000,IN,901980,DEM
2000,IN,18997,OTHER
2000,IN,16959,OTHER
2000,IN,15530,LIB
2004,IN,1479438,REP
2004,IN,969011,DEM
2004,IN,18058,LIB
2004,IN,1495,OTHER
2008,IN,1374039,DEM
2008,IN,1345648,REP
2008,IN,29257,LIB
2008,IN,1201,OTHER
2008,IN,909,OTHER
2012,IN,1420543,REP
2012,IN,1152887,DEM
2012,IN,50111,LIB
2012,IN,993,OTHER
2016,IN,1557286,REP
2016,IN,1033126,DEM
2016,IN,133993,LIB
2016,IN,7841,OTHER
2016,IN,1937,OTHER
2016,IN,718,OTHER
2016,IN,57,OTHER
2020,IN,1242416,DEM
2020,IN,1729519,REP
2020,IN,59232,LIB
2020,IN,988,OTHER
2020,IN,893,OTHER
2020,IN,23,OTHER
2020,IN,17,OTHER
2020,IN,13,OTHER
2020,IN,5,OTHER
2020,IN,4,OTHER
2020,IN,4,OTHER
2020,IN,2,OTHER
2020,IN,1,OTHER
2020,IN,1,OTHER
1976,KS,502752,REP
1976,KS,430421,DEM
1976,KS,13185,OTHER
1976,KS,4724,OTHER
1976,KS,3242,OTHER
1976,KS,2118,OTHER
1976,KS,1403,OTHER
1980,KS,566812,REP
1980,KS,326150,DEM
1980,KS,68231,OTHER
1980,KS,14470,LIB
1980,KS,1555,OTHER
1980,KS,967,OTHER
1980,KS,821,OTHER
1980,KS,789,OTHER
1984,KS,677296,REP
1984,KS,333149,DEM
1984,KS,3564,OTHER
1984,KS,3329,LIB
1984,KS,2544,OTHER
1984,KS,2109,OTHER
1988,KS,554049,REP
1988,KS,422636,DEM
1988,KS,16359,OTHER
1992,KS,449951,REP
1992,KS,390434,DEM
1992,KS,312358,OTHER
1992,KS,4314,LIB
1992,KS,179,OTHER
1996,KS,583245,REP
1996,KS,387659,DEM
1996,KS,92639,OTHER
1996,KS,5174,OTHER
1996,KS,4557,LIB
1996,KS,1026,OTHER
2000,KS,622332,REP
2000,KS,399276,DEM
2000,KS,37459,OTHER
2000,KS,7370,OTHER
2000,KS,4525,LIB
2000,KS,1254,OTHER
2004,KS,736456,REP
2004,KS,434993,DEM
2004,KS,9348,OTHER
2004,KS,4013,LIB
2004,KS,2899,OTHER
2004,KS,47,OTHER
2008,KS,699655,REP
2008,KS,514765,DEM
2008,KS,10598,OTHER
2008,KS,6706,LIB
2008,KS,4148,OTHER
2012,KS,692634,REP
2012,KS,440726,DEM
2012,KS,20456,LIB
2012,KS,5017,OTHER
2012,KS,1138,OTHER
2016,KS,671018,REP
2016,KS,427005,DEM
2016,KS,55406,LIB
2016,KS,23506,OTHER
2016,KS,7467,OTHER
2020,KS,771406,REP
2020,KS,570323,DEM
2020,KS,30574,LIB
1976,KY,615717,DEM
1976,KY,531852,REP
1976,KY,8308,OTHER
1976,KY,6837,OTHER
1976,KY,2328,OTHER
1976,KY,814,LIB
1976,KY,510,OTHER
1976,KY,426,OTHER
1976,KY,350,OTHER
1980,KY,635274,REP
1980,KY,617417,DEM
1980,KY,31127,OTHER
1980,KY,5531,LIB
1980,KY,4233,OTHER
1980,KY,1304,OTHER
1980,KY,393,OTHER
1980,KY,348,OTHER
1984,KY,821702,REP
1984,KY,539539,DEM
1984,KY,3129,OTHER
1984,KY,1776,OTHER
1984,KY,1479,OTHER
1984,KY,599,OTHER
1984,KY,428,OTHER
1984,KY,365,OTHER
1984,KY,328,OTHER
1988,KY,734281,REP
1988,KY,580368,DEM
1988,KY,4494,OTHER
1988,KY,2118,LIB
1988,KY,1256,OTHER
1992,KY,665104,DEM
1992,KY,617178,REP
1992,KY,203944,OTHER
1992,KY,4513,LIB
1992,KY,989,OTHER
1992,KY,695,OTHER
1992,KY,430,OTHER
1992,KY,47,OTHER
1996,KY,636614,DEM
1996,KY,623283,REP
1996,KY,120396,OTHER
1996,KY,4009,LIB
1996,KY,2204,OTHER
1996,KY,1493,OTHER
1996,KY,709,OTHER
2000,KY,872520,REP
2000,KY,638923,DEM
2000,KY,23118,OTHER
2000,KY,4152,OTHER
2000,KY,2885,LIB
2000,KY,1513,OTHER
2000,KY,915,OTHER
2000,KY,80,OTHER
2004,KY,1069439,REP
2004,KY,712733,DEM
2004,KY,8856,OTHER
2004,KY,2619,LIB
2004,KY,2213,OTHER
2004,KY,22,OTHER
2008,KY,1048462,REP
2008,KY,751985,DEM
2008,KY,15378,OTHER
2008,KY,5989,LIB
2008,KY,4694,OTHER
2008,KY,112,OTHER
2012,KY,1087190,REP
2012,KY,679370,DEM
2012,KY,17063,LIB
2012,KY,6872,OTHER
2012,KY,6337,OTHER
2012,KY,380,OTHER
2016,KY,1202971,REP
2016,KY,628854,DEM
2016,KY,53752,LIB
2016,KY,22780,OTHER
2016,KY,13913,OTHER
2016,KY,1128,OTHER
2016,KY,751,OTHER
2020,KY,1326646,REP
2020,KY,772474,DEM
2020,KY,26234,LIB
2020,KY,6483,OTHER
2020,KY,3599,OTHER
2020,KY,716,OTHER
2020,KY,408,OTHER
2020,KY,98,OTHER
2020,KY,43,OTHER
